Run,a2_berm,a2_t,a2_$,a3_piles,a3_t,a3_$,a4_piers,a4_t,a4_$,a5_girders,a5_t,a5_$,total_t,ppl_$,mobilize_$,total_$,total_$_norm,total_t_norm,reward
76,0,64,1243136,2,11,72776,0,72,1943424,1,40,568960,269,355080,32183,4215559.1,0.346,0.500,0.846
77,0,64,1243136,0,9,59544,0,144,1943424,1,40,568960,334,241760,32183,4089007.1,0.375,0.184,0.559
78,2,46,692576,0,9,59544,1,126,2742768,1,40,568960,314,241760,32183,4337791.1,0.319,0.282,0.601
79,2,46,692576,0,9,59544,2,127,2894584,1,40,568960,312,243920,34128,4493712.45,0.284,0.291,0.576
80,2,46,692576,0,9,59544,2,127,2894584,0,51,898416,309,252560,40954,4838634.14,0.207,0.306,0.513
81,0,64,1243136,0,9,59544,2,127,2894584,1,40,568960,306,254720,34128,5055072.45,0.159,0.320,0.479
82,0,64,1243136,0,9,59544,1,126,2742768,0,51,898416,332,261200,39009,5244072.79,0.117,0.194,0.311
83,1,68,903040,1,39,387816,0,72,1943424,1,40,568960,275,346440,30238,4179917.75,0.354,0.471,0.825
84,2,46,692576,0,9,59544,2,127,2894584,0,51,898416,320,252560,40954,4838634.14,0.207,0.252,0.460
85,1,68,903040,2,11,72776,2,127,2894584,0,51,898416,337,252560,40954,5062330.14,0.157,0.170,0.327
86,1,68,903040,2,11,72776,0,72,1943424,1,40,568960,275,344280,32183,3864663.1,0.425,0.471,0.896
87,0,64,1243136,2,11,72776,2,127,2894584,1,40,568960,330,254720,34128,5068304.45,0.156,0.204,0.360
88,1,68,903040,1,39,387816,1,126,2742768,1,40,568960,316,243920,30238,4876741.75,0.199,0.272,0.471
89,0,64,1243136,2,11,72776,2,127,2894584,1,40,568960,318,254720,34128,5068304.45,0.156,0.262,0.418
90,0,64,1243136,2,11,72776,0,72,1943424,0,101,889608,338,342120,32183,4523247.1,0.278,0.165,0.443
91,2,46,692576,2,11,72776,1,126,2742768,1,40,568960,304,241760,32183,4351023.1,0.316,0.330,0.646
92,2,46,692576,2,11,72776,2,127,2894584,1,40,568960,300,243920,34128,4506944.45,0.281,0.350,0.631
93,0,64,1243136,1,20,397760,1,126,2742768,1,40,568960,324,274160,39009,5265792.79,0.112,0.233,0.345
94,1,68,903040,0,9,59544,1,126,2742768,1,40,568960,300,241760,32183,4548255.1,0.272,0.350,0.622
95,2,46,692576,2,11,72776,0,144,1943424,0,51,898416,329,239600,39009,3885800.79,0.420,0.209,0.629
96,2,46,692576,1,20,397760,1,126,2742768,0,51,898416,326,272000,45834,5049354.48,0.160,0.223,0.383
97,1,68,903040,2,11,72776,0,144,1943424,1,40,568960,332,230960,32183,3751343.1,0.450,0.194,0.644
98,1,34,903040,0,9,59544,2,127,2894584,1,40,568960,295,254720,40954,4721802.14,0.233,0.374,0.607
99,2,46,692576,0,9,59544,2,127,2894584,0,101,889608,368,230960,34128,4801400.45,0.216,0.019,0.235
